0	871
1	4275
2	4232
3	3871
4	3587
5	3121
6	2753
7	2518
8	2246
9	1946
10	1736
11	1475
12	1381
13	1192
14	1104
15	1014
16	912
17	807
18	723
19	658
20	615
21	548
22	510
23	463
24	461
25	387
26	373
27	366
28	294
29	283
30	236
31	226
32	255
33	222
34	198
35	196
36	171
37	167
38	171
39	146
40	122
41	112
42	113
43	112
44	98
45	95
46	92
47	81
48	99
49	90
50	76
51	78
52	83
53	93
54	57
55	56
56	61
57	61
58	48
59	60
60	45
61	39
62	49
63	33
64	35
65	47
66	33
67	27
68	38
69	27
70	22
71	29
72	26
73	31
74	25
75	29
76	29
77	23
78	23
79	20
80	24
81	18
82	23
83	26
84	14
85	16
86	13
87	15
88	15
89	19
90	16
91	10
92	16
93	8
94	19
95	10
96	13
97	16
98	19
99	16
100	642
